,variety,bagOfWordsList,Fruit,Acidity,Taste,Flavor
11,Riesling, dri finish honey light nose  riesl acid appl lemon pear riesling slight sweet flavor fresh intens stone style  acidity  fruit rich hint   citrus miner ripe white aroma floral flavors apricot crisp dry long lime sugar peach touch spice palate palat balanc clean green ,,,,
12,Malbec, aroma blackberri  finish flavors oak ripe spice flavor    acid black dark fruit tannin plum berri  herbal sweet palat malbec nose,,,,
13,Nebbiolo, aroma berry black  finish  palat spice tannins wild cherry dri firm fruit tannin   barolo,,,,
14,Pinot Gris, flavor fruit finish  pear gris pinot,,,,
15,Portuguese Red, acidity black  fruit ripe tannin  wood age soft dark flavor rich acid fresh berri red tannins juici fruits firm,,,,
16,Viognier, flavor  finish viognier fruit,,,,
17,Rosé, finish flavor rosc acid crisp   red strawberri light ripe cherri fruit flavors acidity fresh,,,,
18,Zinfandel, flavor  rich sweet  zinfandel cherri dri black  pepper ripe tannin zin blackberri fruit   spice flavors wild finish alcohol high tannic soft tast  dry tannins,,,,
19,Rhône-style Red Blend, flavor fruit  cherri  blend finish syrah black,,,,
20,Carmenère, finish flavor herbal,,,,
21,Bordeaux-style Red Blend, acid aging  berri dri fresh fruit fruiti  juici  solid  tannin  wood blackberri blend cabernet cherri franc merlot aroma dark finish flavor tannins  light  firm red age bordeaux rich weight  flavors acidity  ripe smooth soft e   chocol  sauvignon spice black big balanc plum year currant layer fruits barrel oak  fine tannic dens    sweet ,,,,
22,Gewürztraminer, ,,,,
23,Cabernet Franc,  cherri flavor fruit cabernet franc,,,,
24,Bordeaux-style White Blend, fruit ,,,,
25,Merlot, black cherri finish fruit plum red spice sweet tannins blackberri flavor oak   flavors merlot ripe  dry aroma herb soft tannin palat acid cherry nose  rich  dri berri green dark  smooth,,,,
26,Pinot Grigio,  grigio pinot,,,,
27,Portuguese White, ,,,,
28,Tempranillo Blend, finish flavor,,,,
29,White Blend, crisp fruit palat aroma  peach white blanc blend chardonnay flavor sauvignon finish fresh sweet  honey citrus,,,,
30,Barbera, fruit  aroma spice barbera,,,,
31,Champagne Blend, flavor  fruit,,,,
32,Grüner Veltliner, fresh  fruit,,,,
33,Port, sweet  fruit,,,,
34,Shiraz, finish flavor  aroma  fruit plum shiraz black spice vanilla ,,,,
35,"Corvina, Rondinella, Molinara", fruit spice  aroma cherri,,,,
36,Sangiovese Grosso,  aroma fruit spice brunello,,,,
